Postcode,Threshold1,Threshold2,Threshold3,Threshold4,CardsInForce0,CardsInForce1,CardsInForce2,Transactions,SpentAtMerchants,RetailTransactions,SpentAtRetailMerchants,DiningTransactions,SpentAtDiningMerchants,LodgeTransactions,SpentAtLodgeMerchants
2037,,,x,,4642,4516,126,"458,808","37,640,398.43",428259,30780592.2,25863,3121020.14,407,249080.13
2038,,,x,,3536,3392,144,"114,150","9,668,669.24",80501,7028767.79,10296,651828.44,5,4855.2
2039,,,x,,4367,4124,243,"314,708","62,395,599.46",48834,8458380.2,64795,3732728.21,3,124
2040,,,x,,7132,6898,234,"415,189","40,161,946.38",380233,32856647.61,20991,3080681.25,24,4235.25
2041,,,x,,8283,8005,278,"327,391","170,851,040.13",243214,23128850.73,32041,3614550,4,139.3
2042,,,x,,5142,4987,155,"260,538","17,597,947.50",183397,10484555.98,46461,2484095.23,7511,623384.34
2043,,,x,,2637,2509,128,"43,060","5,978,541.62",27591,4520203.84,4001,215852.66,0,0
2044,,,x,,1725,1598,127,"79,267","14,569,260.23",28121,10869258.15,19061,993165.22,870,150967.14
2045,,,x,,2795,2721,74,"71,550","10,618,731.40",27590,6407797.04,14904,771725.52,176,41652.81
2046,,,x,,10796,10502,294,"265,440","37,372,571.78",148300,21940447.13,36477,2028424.11,1,300
2047,,,x,,5742,5575,167,"560,760","46,082,270.47",446058,37016344.27,39688,1676514.94,88,28101.54
2048,,,x,,2416,2335,81,"83,670","6,509,115.65",10565,2803201.05,19460,672867.55,65,20362
2049,,,x,,2975,2912,63,"57,149","12,786,255.30",28727,6083145.26,2575,160059.29,4,1680.6
2050,,,x,,2613,2488,125,"90,655","12,014,341.65",51745,7440540.07,11381,285754.68,2482,736476.03
2051,x,,,,7,6,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2052,x,,,,48,44,4,"21,846","39,296,239.75",4036,619951.93,4199,57661.83,19,19482.55
2053,x,,,,11,11,0, -   , -   ,0,0,0,0,0,0
2054,,x,,,6,6,0,4,888.13,0,0,0,0,0,0
2055,x,,,,15,14,1,"3,840","296,567.80",1831,194014.13,2009,102553.67,0,0
2056,x,,,,19,11,8,303,"58,371.38",4,1645.8,281,21700.6,0,0
2057,,,x,,914,831,83,"34,796","3,255,193.97",25730,2393585.01,2399,87329.39,0,0
2059,,,x,,1944,1165,779,"6,893","6,903,618.95",1048,9227.8,1150,81725.38,662,190509.05
2060,,,x,,11807,8076,3731,"2,739,791","433,751,341.98",1537991,129035816.7,195082,13262923.25,12597,6428623.03
2061,,,x,,4109,3919,190,"462,718","65,223,462.29",43304,7102826.817,54383,8664260.04,163,62489.13
2062,x,,,,4030,3906,124,"265,855","16,414,574.52",199391,10420112.84,34133,2177997.47,131,66758.42
2063,,,x,,4226,4106,120,"323,273","31,819,122.09",308932,27986311.88,2807,220824.16,871,39673.86
2064,,,x,,4385,4087,298,"505,845","99,497,647.97",446349,91138018.15,19731,2006115,672,207553.41
2065,,,x,,16518,14496,2022,"991,996","167,034,348.60",590181,58318505.52,167683,16162212.09,13549,15431778.69
2066,,,x,,14370,13655,715,"606,034","67,262,315.15",459771,46093669.15,40521,2941255.6,1789,489826.25
2067,,,x,,12292,11449,843,"2,921,206","300,626,092.23",2544821,242054438.1,163115,7527885.64,8289,7387479.18
2068,,,x,,9755,9385,370,"404,226","41,262,150.40",167042,24843586.39,21563,2016137.15,136,543904.89
2069,,,x,,9294,9112,182,"53,229","14,301,485.97",14445,5760238.3,3453,395536.79,0,0
2070,,,x,,8372,8188,184,"240,647","17,999,246.13",205728,13805867.95,5586,591338.64,0,0
2071,,,x,,8144,7996,148,"36,530","3,015,602.77",6157,887142.91,6738,805521.32,18,22655
2072,,,x,,4409,4262,147,"305,125","81,716,220.56",269516,21420321.08,18748,583710.27,2,3388.7
2073,,,x,,9277,8914,363,"93,861","29,356,794.97",33538,3416382.34,2293,330616.82,2,193
2074,,,x,,12453,12196,257,"292,484","19,483,750.51",206113,11593185.46,10174,907021.84,0,0
2075,,,x,,12499,12197,302,"608,093","46,239,745.29",518789,33405088.39,26579,1139980.1,2203,153908.39
2076,,,x,,13155,12848,307,"138,753","24,209,259.80",36154,3223572.15,9923,865392.84,134,121022.41
2077,,,x,,10476,10172,304,"1,274,740","110,667,447.19",1119283,87554269.32,59836,1675439.6,193,159586.57
2078,x,,,,11,9,2,"5,582","288,730.33",5564,210420.65,0,0,0,0
2079,,,x,,1753,1693,60,"6,382","488,424.49",5021,340321.44,94,4428.88,0,0
2080,x,,,,560,501,59,"1,988","6,250,632.74",1493,5682087.61,58,2398.04,0,0
2081,,,x,,1417,1361,56,"23,708","1,495,390.63",4130,253093.47,473,39761.25,0,0
